departamento,poblacion
Calamuchita,70512
Capital,1453684
Colón,301889
Cruz del Eje,68656
General Roca,40626
General San Martín,144441
Ischilín,36276
Juárez Celman,69812
Marcos Juárez,115019
Minas,5075
Pocho,5778
Presidente Roque Sáenz Peña,40409
Punilla,213136
Río Cuarto,277775
Río Primero,53832
Río Seco,15494
Río Segundo,116106
San Alberto,43908
San Javier,60165
San Justo,228501
Santa María,119033
Sobremonte,5063
Tercero Arriba,121541
Totoral,21686
Tulumba,14108
Unión,117925
